"a1","a2.if.fail","a2.if.succ","truth"
"0","1","3",0.60607031
"1","1","3",0.8633882
"0","2","3",0.60604649
"1","2","3",0.85170381
"0","1","4",0.64203739
"1","1","4",0.87773652
"0","2","4",0.6420704
"1","2","4",0.86599245
